,key,values,0
255,"['2015', 'A02', '01', '2']","['100.0', '.', '.', '23535', '13.79', '23635', '...', '...']",
256,"['2015', 'A02', '01', '1']","['100.0', '.', '.', '17362', '14.31', '17456', '14.84', '1204']",
257,"['2015', 'A02', '01', '0']","['100.0', '.', '.', '6173', '11.99', '6179', '...', '...']",
258,"['2015', 'A02', '02', '2']","['100.0', '.', '.', '26769', '10.31', '26826', '...', '...']",
259,"['2015', 'A02', '02', '1']","['100.0', '.', '.', '14512', '10.21', '14553', '11.43', '1284']",
260,"['2015', 'A02', '02', '0']","['100.0', '.', '.', '12257', '10.53', '12273', '...', '...']",
261,"['2015', 'A02', '03', '2']","['100.0', '.', '.', '13405', '9.58', '13417', '...', '...']",
262,"['2015', 'A02', '03', '1']","['100.0', '.', '.', '4858', '9.49', '4867', '10.12', '540']",
263,"['2015', 'A02', '03', '0']","['100.0', '.', '.', '8547', '9.71', '8550', '...', '...']",
264,"['2015', '853', '00', '2']","['100.0', '.', '.', '48366', '11.55', '48497', '...', '...']",
265,"['2015', '853', '00', '1']","['100.0', '.', '.', '29066', '11.86', '29177', '12.91', '2283']",
266,"['2015', '853', '00', '0']","['100.0', '.', '.', '19300', '10.90', '19320', '...', '...']",
267,"['2015', '853', '01', '2']","['100.0', '.', '.', '18842', '14.79', '18922', '...', '...']",
268,"['2015', '853', '01', '1']","['100.0', '.', '.', '14256', '15.27', '14333', '15.76', '967']",
269,"['2015', '853', '01', '0']","['100.0', '.', '.', '4586', '12.86', '4589', '...', '...']",
270,"['2015', '853', '02', '2']","['100.0', '.', '.', '19805', '10.73', '19850', '...', '...']",
271,"['2015', '853', '02', '1']","['100.0', '.', '.', '11337', '10.59', '11368', '12.43', '967']",
272,"['2015', '853', '02', '0']","['100.0', '.', '.', '8468', '11.03', '8482', '...', '...']",
